,Course,Section,Class,Credits,Title,Instructor(s),Time,Day,Room(s)
0,GET302,M001,37463,3.0,Global Financial Sys Arch,vcschoon,5:00pm - 7:45pm,Tu,Hinds Hall 011
1,GET460,M001,41946,3.0,Global Technology Abroad,Laurie A Ferger,12:00am - 12:00am,,
2,GET460,M002,41948,3.0,Global Technology Abroad,Paul Brian Gandel,12:00am - 12:00am,,
3,GET602,M001,37464,3.0,Global Financial Sys Arch,vcschoon,5:00pm - 7:45pm,Tu,Hinds Hall 011
4,GET660,M001,41947,3.0,Global Technology Abroad,Laurie A Ferger,12:00am - 12:00am,,
5,GET660,M002,41949,3.0,Global Technology Abroad,Paul Brian Gandel,12:00am - 12:00am,,
6,IDS401,M001,37545,3.0,What's the Big Idea?,Michael A D'Eredita,5:00pm - 7:50pm,Tu,FALK ROOM 201
7,IDS402,M001,41538,3.0,Idea2Startup,John DuRoss Liddy,9:30am - 12:15pm,F,Hinds Hall 011
8,IDS403,M001,37431,1.0,Startup Sandbox,John DuRoss Liddy,2:15pm - 5:05pm,F,Syracuse Technology Garden
9,IDS460,M002,37571,3.0,Entretech - NYC,John DuRoss Liddy,12:00am - 12:00am,,
10,IDS460,M003,37572,3.0,Spring Break in Silicon Valley,John DuRoss Liddy,12:00am - 12:00am,,
11,IDS460,M004,37634,3.0,TechTrek Chicago,John DuRoss Liddy,12:00am - 12:00am,,
12,IDS660,M002,37574,3.0,Entretech - NYC,John DuRoss Liddy,12:00am - 12:00am,,
13,IDS660,M003,37575,3.0,Spring Break in Silicon Valley,John DuRoss Liddy,12:00am - 12:00am,,
14,IDS660,M004,37635,3.0,TechTrek Chicago,,12:00am - 12:00am,,
15,IST101,M001,37501,1.0,First-Year Forum,Julie Walas,12:45pm - 1:40pm,M,Hinds Hall 120
16,IST195,M001,37392,3.0,Information Technologies,Jeff Rubin,9:30am - 10:25am,MW,Huntington Beard Crouse Giff
17,IST195,M003,37443,3.0,LAB: Information Technologies,Jeff Rubin,9:30am - 10:25am,F,Hinds Hall 010
18,IST195,M004,37444,3.0,LAB: Information Technologies,Jeff Rubin,10:35am - 11:30am,F,Hinds Hall 010
19,IST195,M005,37445,3.0,LAB: Information Technologies,Jeff Rubin,11:40am - 12:35pm,F,Hinds Hall 010
20,IST195,M006,37446,3.0,LAB: Information Technologies,Jeff Rubin,12:45pm - 1:40pm,F,Hinds Hall 010
21,IST195,M007,37447,3.0,LAB: Information Technologies,Jeff Rubin,1:50pm - 2:45pm,F,Hinds Hall 010
22,IST195,M008,37452,3.0,LAB: Information Technologies,Jeff Rubin,2:55pm - 3:50pm,F,Hinds Hall 010
23,IST195,M002,37488,3.0,LAB: Information Technologies,Jeff Rubin,8:25am - 9:20am,F,Hinds Hall 010
